Mobile submodel,Count,Percent
0,10298,1.0%
0.0625,84,0.0%
0.5,126,0.0%
0.5625,331,0.0%
0.625,761,0.1%
0.6875,1792,0.2%
0.71,18,0.0%
0.743333333333333,443,0.0%
0.75,3081,0.3%
0.7625,84,0.0%
0.776666666666667,513,0.1%
0.795833333333333,532,0.1%
0.81,445,0.0%
0.8125,5108,0.5%
0.829166666666667,2167,0.2%
0.833333333333333,69,0.0%
0.833333333333333,1,0.0%
0.843333333333333,583,0.1%
0.8625,1714,0.2%
0.866666666666667,27,0.0%
0.875,12,0.0%
0.876666666666667,205,0.0%
0.895833333333333,1446,0.1%
0.9,47,0.0%
0.91,62,0.0%
0.929166666666667,1195,0.1%
0.933333333333333,50,0.0%
0.943333333333333,89,0.0%
0.945833333333333,3,0.0%
0.9625,571,0.1%
0.976666666666667,101,0.0%
0.995833333333333,792,0.1%
1,126,0.0%
1.01,30,0.0%
1.02083333333333,170,0.0%
1.02916666666667,33,0.0%
1.02916666666667,380,0.0%
1.03333333333333,79,0.0%
1.05833333333333,33,0.0%
1.0625,174,0.0%
1.06666666666667,103,0.0%
1.07666666666667,59,0.0%
1.0875,30,0.0%
1.09166666666667,220,0.0%
1.09583333333333,7635,0.8%
1.1,275,0.0%
1.11,30,0.0%
1.12083333333333,658,0.1%
1.125,135,0.0%
1.12916666666667,11279,1.1%
1.13333333333333,156,0.0%
1.14583333333333,91,0.0%
1.15416666666667,3757,0.4%
1.15833333333333,789,0.1%
1.1625,28979,2.9%
1.16666666666667,107,0.0%
1.17666666666667,29,0.0%
1.1875,5911,0.6%
1.19166666666667,1296,0.1%
1.19583333333333,12431,1.3%
1.2,189,0.0%
1.20833333333333,59,0.0%
1.21,30,0.0%
1.21666666666667,686,0.1%
1.22083333333333,2328,0.2%
1.225,12375,1.3%
1.22916666666667,5107,0.5%
1.23333333333333,233,0.0%
1.25,3184,0.3%
1.25416666666667,1598,0.2%
1.25833333333333,17170,1.7%
1.2625,8268,0.8%
1.26666666666667,244,0.0%
1.27666666666667,29,0.0%
1.27916666666667,515,0.1%
1.28333333333333,4328,0.4%
1.2875,11819,1.2%
1.29166666666667,4365,0.4%
1.29583333333333,4010,0.4%
1.3,254,0.0%
1.3,204,0.0%
1.3125,2967,0.3%
1.31666666666667,3271,0.3%
1.32083333333333,22162,2.2%
1.325,7358,0.7%
1.32916666666667,6831,0.7%
1.33333333333333,1041,0.1%
1.34333333333333,1,0.0%
1.34583333333333,4787,0.5%
1.35,2831,0.3%
1.35416666666667,8649,0.9%
1.35833333333333,3147,0.3%
1.3625,9781,1.0%
1.3625,1948,0.2%
1.36666666666667,536,0.1%
1.37916666666667,2820,0.3%
1.38333333333333,12758,1.3%
1.3875,10378,1.1%
1.39166666666667,7558,0.8%
1.39583333333333,4099,0.4%
1.4,434,0.0%
1.41,30,0.0%
1.4125,2022,0.2%
1.41666666666667,10655,1.1%
1.42083333333333,5495,0.6%
1.425,8451,0.9%
1.425,3118,0.3%
1.42916666666667,7647,0.8%
1.43333333333333,535,0.1%
1.44166666666667,141,0.0%
1.44583333333333,6165,0.6%
1.45,1519,0.2%
1.45416666666667,12396,1.3%
1.45833333333333,5134,0.5%
1.4625,2903,0.3%
1.46666666666667,709,0.1%
1.475,583,0.1%
1.47666666666667,59,0.0%
1.47916666666667,3056,0.3%
1.48333333333333,2446,0.2%
1.4875,8530,0.9%
1.4875,6375,0.6%
1.49166666666667,5032,0.5%
1.49583333333333,3878,0.4%
1.5,489,0.0%
1.50833333333333,378,0.0%
1.5125,4188,0.4%
1.51666666666667,3972,0.4%
1.52083333333333,6700,0.7%
1.525,1387,0.1%
1.52916666666667,1420,0.1%
1.52916666666667,1984,0.2%
1.53333333333333,211,0.0%
1.54583333333333,1279,0.1%
1.55,7840,0.8%
1.55,3252,0.3%
1.55416666666667,12858,1.3%
1.55833333333333,2511,0.3%
1.5625,4051,0.4%
1.56666666666667,734,0.1%
1.575,170,0.0%
1.57916666666667,3209,0.3%
1.58333333333333,7922,0.8%
1.58333333333333,1,0.0%
1.5875,8771,0.9%
1.59166666666667,3172,0.3%
1.59166666666667,4795,0.5%
1.59583333333333,985,0.1%
1.59583333333333,4374,0.4%
1.6,1535,0.2%
1.6125,2093,0.2%
1.6125,1479,0.1%
1.61666666666667,10830,1.1%
1.62083333333333,7463,0.8%
1.625,4261,0.4%
1.62916666666667,3949,0.4%
1.63333333333333,2591,0.3%
1.64583333333333,2562,0.3%
1.65,15661,1.6%
1.65416666666667,2345,0.2%
1.65416666666667,4207,0.4%
1.65833333333333,2218,0.2%
1.65833333333333,4898,0.5%
1.6625,3611,0.4%
1.66666666666667,626,0.1%
1.66666666666667,1059,0.1%
1.675,30,0.0%
1.67916666666667,1633,0.2%
1.68333333333333,9966,1.0%
1.6875,4498,0.5%
1.69166666666667,5874,0.6%
1.69583333333333,3709,0.4%
1.7,265,0.0%
1.7,1048,0.1%
1.70833333333333,126,0.0%
1.7125,2205,0.2%
1.71666666666667,3028,0.3%
1.71666666666667,7300,0.7%
1.72083333333333,2499,0.3%
