Nature index,Count,Percent
0,4881,0.5%
0.028125,25,0.0%
0.225,64,0.0%
0.253125,184,0.0%
0.28125,261,0.0%
0.309375,541,0.1%
0.3195,13,0.0%
0.3345,212,0.0%
0.3375,376,0.0%
0.343125,63,0.0%
0.3495,124,0.0%
0.358125,241,0.0%
0.3645,107,0.0%
0.365625,392,0.0%
0.373125,815,0.1%
0.375,67,0.0%
0.3795,102,0.0%
0.388125,1071,0.1%
0.39,26,0.0%
0.39375,12,0.0%
0.3945,8,0.0%
0.403125,416,0.0%
0.405,47,0.0%
0.4095,3,0.0%
0.418125,225,0.0%
0.42,50,0.0%
0.4245,6,0.0%
0.425625,3,0.0%
0.433125,496,0.1%
0.4395,9,0.0%
0.448125,622,0.1%
0.45,8,0.0%
0.4545,2,0.0%
0.459375,170,0.0%
0.463125,33,0.0%
0.463125,292,0.0%
0.465,37,0.0%
0.47625,33,0.0%
0.478125,97,0.0%
0.48,61,0.0%
0.4845,1,0.0%
0.489375,30,0.0%
0.49125,220,0.0%
0.493125,7179,0.7%
0.495,146,0.0%
0.4995,3,0.0%
0.504375,658,0.1%
0.50625,135,0.0%
0.508125,11134,1.1%
0.51,91,0.0%
0.515625,88,0.0%
0.519375,3757,0.4%
0.52125,784,0.1%
0.523125,28793,2.9%
0.525,96,0.0%
0.5295,2,0.0%
0.534375,5885,0.6%
0.53625,1247,0.1%
0.538125,12403,1.3%
0.54,113,0.0%
0.54375,59,0.0%
0.5445,1,0.0%
0.5475,686,0.1%
0.549375,2324,0.2%
0.55,3319,0.3%
0.55125,12293,1.2%
0.553125,5014,0.5%
0.555,164,0.0%
0.5625,3101,0.3%
0.564375,1598,0.2%
0.56625,16196,1.6%
0.568125,7004,0.7%
0.57,156,0.0%
0.5745,2,0.0%
0.575625,515,0.1%
0.5775,4318,0.4%
0.578125,50,0.0%
0.579375,10863,1.1%
0.58125,4321,0.4%
0.583125,3242,0.3%
0.585,143,0.0%
0.585,170,0.0%
0.590625,2967,0.3%
0.5925,3271,0.3%
0.594375,20779,2.1%
0.59625,6589,0.7%
0.598125,5705,0.6%
0.6,769,0.1%
0.605625,4787,0.5%
0.6075,2775,0.3%
0.609375,8619,0.9%
0.61125,1921,0.2%
0.613125,9691,1.0%
0.613125,1217,0.1%
0.615,137,0.0%
0.620625,2820,0.3%
0.6225,10933,1.1%
0.624375,9898,1.0%
0.62625,3809,0.4%
0.628125,3546,0.4%
0.63,215,0.0%
0.635625,2022,0.2%
0.6375,10306,1.0%
0.639375,4757,0.5%
0.64125,6802,0.7%
0.643125,6559,0.7%
0.645,218,0.0%
0.64875,141,0.0%
0.650625,5318,0.5%
0.6525,1438,0.1%
0.654375,6737,0.7%
0.65625,2943,0.3%
0.658125,2727,0.3%
0.66,241,0.0%
0.66375,583,0.1%
0.6645,11,0.0%
0.665625,2530,0.3%
0.6675,2376,0.2%
0.669375,1810,0.2%
0.669375,5989,0.6%
0.67125,3819,0.4%
0.673125,3718,0.4%
0.675,367,0.0%
0.67875,362,0.0%
0.680625,1452,0.1%
0.6825,2388,0.2%
0.684375,4887,0.5%
0.68625,688,0.1%
0.688125,1221,0.1%
0.688125,1964,0.2%
0.69,40,0.0%
0.695625,644,0.1%
0.6975,1410,0.1%
0.6975,2927,0.3%
0.699375,10934,1.1%
0.70125,697,0.1%
0.703125,3966,0.4%
0.705,280,0.0%
0.70875,93,0.0%
0.710625,729,0.1%
0.7125,5499,0.6%
0.714375,6723,0.7%
0.71625,722,0.1%
0.71625,2881,0.3%
0.718125,5097,0.5%
0.72,767,0.1%
0.725625,1023,0.1%
0.7275,8840,0.9%
0.729375,5852,0.6%
0.73125,2118,0.2%
0.733125,3853,0.4%
0.735,637,0.1%
0.740625,500,0.1%
0.7425,11738,1.2%
0.744375,2077,0.2%
0.744375,1904,0.2%
0.74625,260,0.0%
0.74625,3152,0.3%
0.748125,3544,0.4%
0.75,281,0.0%
0.75375,30,0.0%
0.755625,672,0.1%
0.7575,9089,0.9%
0.759375,3741,0.4%
0.76125,3147,0.3%
0.763125,3409,0.3%
0.765,31,0.0%
0.765,186,0.0%
0.76875,67,0.0%
0.770625,644,0.1%
0.7725,2534,0.3%
0.7725,2380,0.2%
0.774375,1358,0.1%
0.774375,1283,0.1%
0.775,61,0.0%
0.77625,3528,0.4%
0.778125,900,0.1%
0.778125,23,0.0%
0.78,103,0.0%
0.7845,9,0.0%
0.785625,319,0.0%
0.7875,2386,0.2%
0.789375,2921,0.3%
0.79125,2150,0.2%
0.793125,3,0.0%
0.793125,25,0.0%
0.795,112,0.0%
0.7995,10,0.0%
0.800625,1,0.0%
0.800625,2051,0.2%
0.8025,1565,0.2%
0.8025,255,0.0%
0.803125,134,0.0%
0.804375,3616,0.4%
0.80625,699,0.1%
0.80625,697,0.1%
0.808125,223,0.0%
0.81,257,0.0%
0.815625,157,0.0%
0.8175,3504,0.4%
0.819375,1829,0.2%
0.82125,489,0.0%
0.823125,326,0.0%
0.825,32,0.0%
0.825,335,0.0%
0.830625,101,0.0%
0.83125,380,0.0%
0.8325,3943,0.4%
0.834375,696,0.1%
0.834375,153,0.0%
0.83625,816,0.1%
0.838125,40,0.0%
0.84,556,0.1%
0.845625,866,0.1%
0.8475,1496,0.2%
0.849375,720,0.1%
0.85125,1140,0.1%
0.853125,10,0.0%
0.853125,250,0.0%
0.855,505,0.1%
0.859375,929,0.1%
0.860625,502,0.1%
0.8625,591,0.1%
0.8625,1942,0.2%
0.864375,143,0.0%
0.86625,173,0.0%
0.86625,906,0.1%
0.868125,10,0.0%
0.8695,5,0.0%
0.87,612,0.1%
0.875625,769,0.1%
0.8775,538,0.1%
0.879375,537,0.1%
0.88125,514,0.1%
0.88125,212,0.0%
0.883125,2,0.0%
0.8845,231,0.0%
0.885,962,0.1%
0.8875,973,0.1%
0.890625,1157,0.1%
0.8925,722,0.1%
0.893125,21,0.0%
0.894375,116,0.0%
0.894375,310,0.0%
0.89625,227,0.0%
0.898125,212,0.0%
0.8995,389,0.0%
0.9,69,0.0%
0.905625,312,0.0%
0.9075,1395,0.1%
0.908125,214,0.0%
0.909375,737,0.1%
0.91125,93,0.0%
0.913125,357,0.0%
0.9145,335,0.0%
0.915,98,0.0%
0.915625,4304,0.4%
0.920625,138,0.0%
0.9225,1688,0.2%
0.923125,1118,0.1%
0.924375,686,0.1%
0.925,3,0.0%
0.92625,391,0.0%
0.9295,481,0.0%
0.93,60,0.0%
0.935625,395,0.0%
0.9375,760,0.1%
0.938125,489,0.0%
0.939375,125,0.0%
0.94,1,0.0%
0.94125,286,0.0%
0.9445,197,0.0%
0.945,119,0.0%
0.950625,104,0.0%
0.9525,81,0.0%
0.953125,833,0.1%
0.954375,442,0.0%
0.95625,67,0.0%
0.958125,37,0.0%
0.9595,59,0.0%
0.96,13,0.0%
0.965625,385,0.0%
0.965625,166,0.0%
0.9675,321,0.0%
0.968125,904,0.1%
0.969375,66,0.0%
0.97125,45,0.0%
0.973125,21,0.0%
0.9745,83,0.0%
0.975,31,0.0%
0.980625,255,0.0%
0.9825,304,0.0%
0.983125,75,0.0%
0.984375,58,0.0%
0.98625,62,0.0%
0.988125,8,0.0%
0.9895,92,0.0%
0.99,105,0.0%
0.995625,189,0.0%
0.9975,452,0.0%
0.998125,170,0.0%
0.999375,71,0.0%
1,93,0.0%
1.00125,19,0.0%
1.0045,28,0.0%
1.005,6,0.0%
1.010625,648,0.1%
1.0125,389,0.0%
1.013125,88,0.0%
1.014375,143,0.0%
1.015,42,0.0%
1.01625,4,0.0%
1.018125,23,0.0%
1.02,20,0.0%
1.025625,258,0.0%
1.0275,52,0.0%
1.028125,77,0.0%
1.029375,336,0.0%
1.03,41,0.0%
1.03125,26,0.0%
1.0345,58,0.0%
1.040625,130,0.0%
1.0425,34,0.0%
1.043125,305,0.0%
1.044375,263,0.0%
1.045,123,0.0%
1.04625,92,0.0%
1.0495,27,0.0%
1.05,12,0.0%
1.055625,31,0.0%
1.0575,212,0.0%
1.058125,145,0.0%
1.059375,39,0.0%
1.059375,113,0.0%
1.06,65,0.0%
1.06125,23,0.0%
1.065625,3,0.0%
1.070625,61,0.0%
1.07125,5,0.0%
1.0725,93,0.0%
1.073125,186,0.0%
1.074375,119,0.0%
1.075,11,0.0%
1.07625,145,0.0%
1.0795,27,0.0%
1.08,17,0.0%
1.084375,26,0.0%
1.085625,680,0.1%
1.08625,49,0.0%
1.0875,232,0.0%
1.088125,28,0.0%
1.089375,30,0.0%
1.09,76,0.0%
1.09125,28,0.0%
