Seabird,Count,Percent
0,21855,2.2%
0.0333333333333333,12373,1.3%
0.0666666666666667,16477,1.7%
0.1,69499,7.0%
0.133333333333333,122892,12.4%
0.166666666666667,69829,7.1%
0.2,77876,7.9%
0.233333333333333,73617,7.5%
0.266666666666667,72710,7.4%
0.3,65051,6.6%
0.333333333333333,44930,4.6%
0.366666666666667,41230,4.2%
0.4,16615,1.7%
0.433333333333333,29853,3.0%
0.466666666666667,31828,3.2%
0.5,18286,1.9%
0.533333333333333,16252,1.6%
0.566666666666667,10295,1.0%
0.6,26201,2.7%
0.633333333333333,26241,2.7%
0.666666666666667,12239,1.2%
0.7,6183,0.6%
0.733333333333333,12146,1.2%
0.766666666666667,19212,1.9%
0.8,7906,0.8%
0.833333333333333,8594,0.9%
0.866666666666667,7211,0.7%
0.9,8113,0.8%
0.933333333333333,6621,0.7%
0.966666666666667,25517,2.6%
1,9775,1.0%
Total,987427,-
