skim_variable,n_missing,complete_rate,mean,sd,p0,p25,p50,p75,p100,hist
Cetacean,0,1,0.6642864063199948,0.21931223104539563,0,0.5,0.6666666666666666,0.8333333333333334,1,▁▂▇▅▇
Seabird,0,1,0.3366712678506867,0.24239617835135185,0,0.16666666666666666,0.26666666666666666,0.4666666666666667,1,▇▆▃▂▂
Fish,0,1,0.6661999064234614,0.16857769287596922,0,0.625,0.6875,0.75,1,▁▁▂▇▂
Mobile submodel,0,1,1.6671575805941437,0.4524567472885101,0,1.3583333333333334,1.6166666666666667,1.95,2.8125,▁▁▇▅▂
Coral,0,1,0.035678586872748434,0.18548762804013183,0,0,0,0,1,▇▁▁▁▁
Seagrass,0,1,0.004837825986124158,0.06938606705607354,0,0,0,0,1,▇▁▁▁▁
Protected area,0,1,0.224327469271147,0.4171388641995062,0,0,0,0,1,▇▁▁▁▂
IMMA,0,1,0.359673170776169,0.4799047970605136,0,0,0,1,1,▇▁▁▁▅
Sessile submodel,0,1,0.6245170529061934,0.7486566315668121,0,0,0,1,3,▇▅▁▂▁
Nature index,0,1,1.093705290365769,0.5459747642759821,0,0.624375,0.8325,1.4856250000000002,2.8875,▃▇▆▃▁
